anime,Gênero do anime,anime_url,anime_img,Quantidade de episódios do anime,Votos totais do anime,Avaliação do anime,Avaliação Categoria do anime,Contagem total de votos de todos os animes
The Dragon Dentist,"Action, Adventure, Fantasy, Supernatural",https://www.crunchyroll.com/the-dragon-dentist,https://img1.ak.crunchyroll.com/i/spire3/0387c0a9b146f5c28022531f01578e8a1487383801_full.jpg,2,14,4.21,Excelente,269909
Touken Ranbu - Hanamaru,"Action, Comedy, Drama, Fantasy, Historical, Slice of life",https://www.crunchyroll.com/touken-ranbu-hanamaru,https://img1.ak.crunchyroll.com/i/spire3/5ef67627d2ce3a15eb9aa365fd8319371475618063_full.jpg,24,14,4.0,Bom,269909
Tesagure! Bukatsumono,"Comedy, Slice of life",https://www.crunchyroll.com/tesagure-bukatsumono,https://img1.ak.crunchyroll.com/i/spire3/4ad64d902f920bef0d30d6d4496760b21428175588_full.jpg,36,14,3.86,Bom,269909
Crossing Time,"Comedy, Romance, Slice of life",https://www.crunchyroll.com/crossing-time,https://img1.ak.crunchyroll.com/i/spire4/0a87bda81e1bf231e22dbece79f5eb411523241970_full.jpg,12,14,3.86,Bom,269909
Peeping Life TV Season 1??,Comedy,https://www.crunchyroll.com/peeping-life-tv-season-1,https://img1.ak.crunchyroll.com/i/spire3/6262971e7e23cb4e86728545c9b172f71444046558_full.jpg,12,14,3.5,Bom,269909
Nurse Witch KOMUGI R,"Comedy, Fantasy, Idols",https://www.crunchyroll.com/nurse-witch-komugi-r,https://img1.ak.crunchyroll.com/i/spire3/de3c5b50dee64c1144c977f678a208d41452039271_full.jpg,12,14,3.43,Bom,269909
You Don't Know Gunma Yet,"Comedy, Slice of life, Thriller",https://www.crunchyroll.com/you-dont-know-gunma-yet,https://img1.ak.crunchyroll.com/i/spire1/dc592cdaffe39ce24be6f822a55479371523077379_full.jpg,12,14,3.14,Bom,269909
OZMAFIA!!,"Comedy, Fantasy, Romance, Slice of life",https://www.crunchyroll.com/ozmafia,https://img1.ak.crunchyroll.com/i/spire4/23ef786bfb7b4666c9b94c57f830a59c1467752978_full.jpg,12,14,3.0,Neutro,269909
HEYBOT!,"Comedy, Sci-fi",https://www.crunchyroll.com/heybot,https://img1.ak.crunchyroll.com/i/spire3/398d07a0291f250929c2d37c278e85d61474071146_full.jpg,50,14,2.86,Neutro,269909
Os Cavaleiros do Zodíaco - Saga de Hades,,https://www.crunchyroll.com/saint-seiya-hades,https://img1.ak.crunchyroll.com/i/spire1/58d0209abe21f11da0fa61f13b49c04b1401840035_full.jpg,62,13,4.54,Excelente,269909
Tabimachi Lateshow,"Drama, Seinen, Slice of life",https://www.crunchyroll.com/tabimachi-lateshow,https://img1.ak.crunchyroll.com/i/spire3/9bb4bfff9c611bb365a87c4b34176dd21452118832_full.jpg,4,13,4.54,Excelente,269909
Wooser's Hand-to-Mouth Life,"Comedy, Slice of life",https://www.crunchyroll.com/woosers-hand-to-mouth-life,https://img1.ak.crunchyroll.com/i/spire4/8ab205b921e6879107d38327a241a78c1391046932_full.jpg,24,13,3.77,Bom,269909
Girl Friend BETA,"Romance, Slice of life",https://www.crunchyroll.com/girl-friend-beta,https://img1.ak.crunchyroll.com/i/spire2/1f17c05c28b5aa27bd9a02f6a6d3dda01412914245_full.jpg,12,13,3.69,Bom,269909
World Fool News,"Comedy, Slice of life",https://www.crunchyroll.com/world-fool-news,https://img1.ak.crunchyroll.com/i/spire2/4f788a99f291cb250e52b9da609374d01493158729_full.jpg,12,13,3.62,Bom,269909
Love Rice,"Comedy, Slice of life",https://www.crunchyroll.com/love-rice,https://img1.ak.crunchyroll.com/i/spire4/5da6a1f706dfc9243ccf0bea4a62ef471507941077_full.jpg,24,13,3.46,Bom,269909
BONO BONO,"Comedy, Slice of life",https://www.crunchyroll.com/bono-bono,https://img1.ak.crunchyroll.com/i/spire2/9bb411260cdb1f1aaa61833e65b87bd21534369766_full.jpg,154,12,4.92,Excelente,269909
MARGINAL #4 the Animation,"Idols, Slice of life",https://www.crunchyroll.com/marginal-4-the-animation,https://img1.ak.crunchyroll.com/i/spire4/3e476e829acba51349b6ac7f3ae379c71538080659_full.jpg,12,12,4.5,Excelente,269909
Miss Bernard said.,"Comedy, Slice of life",https://www.crunchyroll.com/miss-bernard-said,https://img1.ak.crunchyroll.com/i/spire3/85a0c35bab9f0775c2c30c7f970e77091475746204_full.jpg,12,12,4.42,Excelente,269909
Cinderella Nine,"Drama, Slice of life, Sports",https://www.crunchyroll.com/cinderella-nine,https://img1.ak.crunchyroll.com/i/spire2/4965b04951dbfd0e351b98ea363e32f61554598886_full.jpg,12,12,4.25,Excelente,269909
Nyanbo!,"Comedy, Sci-fi",https://www.crunchyroll.com/nyanbo,https://img1.ak.crunchyroll.com/i/spire1/c0e4062c697750b7a32757413989f75b1474913023_full.jpg,26,12,4.08,Excelente,269909
Null & Peta,"Comedy, Slice of life",https://www.crunchyroll.com/null-peta,https://img1.ak.crunchyroll.com/i/spire3/212f23abd84789d53c987a004a06803b1570171168_full.jpg,12,12,3.92,Bom,269909
Sorcery in the Big City,"Action, Adventure, Fantasy, Mystery, Supernatural",https://www.crunchyroll.com/sorcery-in-the-big-city,https://img1.ak.crunchyroll.com/i/spire2/33323d54b18748b5b792e686825089861512004169_full.jpg,1,12,3.75,Bom,269909
